repo,permission
masschemsite,read
flap3,read
grid_ui,read
grid_newparam_orig,read
grid_aat_devel,read
grid_aat_devel_orig,read
flapguimodules,read
flapguimodules_orig,read
lipostar,read
lipostar_orig,read
cifexplorer,read
cifexplorer_orig,read
msite_restore,read
testrepo,read
lipo-temp,read
webmetabase,read
nmrassigner,write
msite,write
grid_ng,read
dementor,write
mutils,read
peakdetect,read
msfile-converter,read
libmspec,read
testpermigrazione,read
flap_ui,read
waters_sdk,read
unificonnect,read
flap-db,read
kibitzer,read
libpka,read
biogps,read
openglunderqml,read
moka,read
massmetasite,write
volsurf3,read
moldraw,read
runaway,read
nimrod,admin
djangosite,read
bruker-tdf,read
rocplot,read
rxneditor,read
libisis,read
pains-filter,read
lkmy,read
moplykit,read
baf2sql,read
msconv-sciex,read
lipidbuilder,read
pic2mol-model,read
pic2mol,read
vsmodels_devel,read
flap_tools,read
atomanalysis,read
sqlite,read
mdtk,read
biogps_ws,read
isospecs,write
modeler_py,read
mhdac,read
charming,write
libflapmv,read
mini_mizer,read
terraform,read
vs_topp,read
pka_devel,read
msfile_reader,read
libflapui,read
inchi,read
libfrag,read
taut_devel,read
mcsf,read
oleum,read
metasite,read
libdatastorage,read
libhscf,read
libapputils,read
logd_devel,read
markush,read
eigen,read
rapidjson,read
markush-app,read
libkekule,read
laura,read
wiffreader,read
protobuf,read
waters_protobuff,read
libdepict,read
libbasstat,read
libvolsurf,read
mdwrapper,read
designer,read
liblogd,read
jsoncpp,read
mut,read
tutor_vsplus,read
tutor_massmetasite,read
man_grid,read
docs_common,read
man_metasite,read
pybasstat,read
bioplot,read
libbioplot,read
moldraw_builder,read
flap_bootstrap,read
man_vsplus,read
libflapw,read
opto,read
libpeptidemaker,read
inchi_1_02b,read
grid_aat,read
resemblance,read
pharmbench,read
vsplus_models,read
biogen,read
cifparse-obj,read
modeller,read
flapreact,read
midac,read
man_flap,read
mokatip,read
dbtk,read
vsplus,read
online_manuals,read
basstat_devel,read
pyfixpdb,read
mdlib,read
qmolviewer,read
triposlm,read
vcc,write
pentacle,read
fastvcc_wmb,write
pymoldraw,read
aa_devel,read
hscf,read
search_cypinhibition_fragments,read
sandbox,read
masslipid,read
recogniser,read
libccm,read
compass_xtract,read
cyp_consortium_models,read
cyprea,read
metabanalysis,read
man_biogps,read
qplot3d,read
tutor_metasite,read
winflexbison,read
wingetopt,read
libbiopka,read
qwt,read
man_moka,read
man_massmetasite,read
libtaut,read
liblda,read
libboundary,read
fixpdb,read
nsis,read
qplotter,read
builder,read
grid,read
libbasstatpp,read
lipidquest,read
librecogniser,read
medoids,read
asparagus,read
epviewer,read
admespace,read
libmzqt,read
gldraw,read
flapclimodules,read
jenkins_test_repo,read
md-registry-server,read
