repo,permission
masschemsite,write
msite_restore,read
lipo-temp,read
nmrassigner,write
msite,write
grid_ng,read
dementor,read
mutils,read
libmspec,read
testpermigrazione,read
unificonnect,read
flap-db,read
libpka,read
massmetasite,write
moldraw,read
rxneditor,read
libisis,read
lkmy,read
msconv-sciex,read
atomanalysis,read
sqlite,read
mdtk,read
isospecs,write
mhdac,read
libflapmv,read
mini_mizer,read
vs_topp,read
msfile_reader,read
inchi,read
libfrag,read
metasite,read
libhscf,read
markush,read
eigen,read
rapidjson,read
libkekule,read
laura,read
wiffreader,read
libdepict,read
libbasstat,read
libvolsurf,read
mdwrapper,read
designer,read
liblogd,read
tutor_massmetasite,read
docs_common,write
man_metasite,read
cyprea,read
metabanalysis,read
three2dview,read
tutor_metasite,read
winflexbison,read
wingetopt,read
man_massmetasite,read
fixpdb,read
nsis,read
qplotter,read
librecogniser,read
libmzqt,read
